Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
Greenleaf Elementary,636,11,1.73%,6,4,0,1,0,0,2016-17
Dewey Academy,408,7,1.72%,1,6,0,0,0,0,2016-17
Markham Elementary,409,7,1.71%,5,2,0,0,0,0,2016-17
Melrose Leadership Academy,531,9,1.69%,1,1,2,5,0,0,2016-17
Bridges Academy,490,8,1.63%,4,4,0,0,0,0,2016-17
La Escuelita Elementary,441,7,1.59%,2,5,0,0,0,0,2016-17
Downtown Charter Academy,223,3,1.35%,0,0,1,0,2,0,2016-17
Manzanita SEED Elementary,448,6,1.34%,1,4,0,0,0,1,2016-17
ACORN Woodland Elementary,315,4,1.27%,3,1,0,0,0,0,2016-17
Oakland Charter Academy,214,2,0.93%,0,0,1,0,1,0,2016-17
North Oakland Community Charter,232,2,0.86%,0,2,0,0,0,0,2016-17
East Oakland Leadership Academy,136,1,0.74%,0,0,1,0,0,0,2016-17
Kaiser Elementary,293,2,0.68%,0,2,0,0,0,0,2016-17
Joaquin Miller Elementary,447,3,0.67%,3,0,0,0,0,0,2016-17
Civicorps Corpsmember Academy,152,1,0.66%,0,1,0,0,0,0,2016-17
Chabot Elementary,582,3,0.52%,3,0,0,0,0,0,2016-17
Thornhill Elementary,411,2,0.49%,1,1,0,0,0,0,2016-17
Lincoln Elementary,756,3,0.40%,2,1,0,0,0,0,2016-17
Grass Valley Elementary,295,1,0.34%,1,0,0,0,0,0,2016-17
American Indian Model Schools,661,1,0.15%,0,0,1,0,0,0,2016-17
Allendale Elementary,409,0,0.00%,0,0,0,0,0,0,2016-17
American Indian Public Charter,148,0,0.00%,0,0,0,0,0,0,2016-17
Carl B. Munck Elementary,261,0,0.00%,0,0,0,0,0,0,2016-17
Castlemont Primary Academy,0,0,0.00%,0,0,0,0,0,0,2016-17
Cleveland Elementary,420,0,0.00%,0,0,0,0,0,0,2016-17
Conservatory of Vocal/Instrumental Arts,223,0,0.00%,0,0,0,0,0,0,2016-17
Conservatory of Vocal/Instrumental Arts High,63,0,0.00%,0,0,0,0,0,0,2016-17
Crocker Highlands Elementary,464,0,0.00%,0,0,0,0,0,0,2016-17
Esperanza Elementary,370,0,0.00%,0,0,0,0,0,0,2016-17
Francophone Charter School of Oakland,184,0,0.00%,0,0,0,0,0,0,2016-17
Gateway to College at Laney College,106,0,0.00%,0,0,0,0,0,0,2016-17
Hillcrest Elementary,381,0,0.00%,0,0,0,0,0,0,2016-17
Home and Hospital Program,9,0,0.00%,0,0,0,0,0,0,2016-17
Hoover Elementary,324,0,0.00%,0,0,0,0,0,0,2016-17
"Independent Study, Sojourner Truth",208,0,0.00%,0,0,0,0,0,0,2016-17
Infant and Preschool Program,1,0,0.00%,0,0,0,0,0,0,2016-17
Montclair Elementary,652,0,0.00%,0,0,0,0,0,0,2016-17
"Nonpublic, Nonsectarian Schools",200,0,0.00%,0,0,0,0,0,0,2016-17
Peralta Elementary,330,0,0.00%,0,0,0,0,0,0,2016-17
Ralph J. Bunche High,158,0,0.00%,0,0,0,0,0,0,2016-17
Rudsdale Continuation,259,0,0.00%,0,0,0,0,0,0,2016-17
Street Academy (Alternative),149,0,0.00%,0,0,0,0,0,0,2016-17
Young Adult Program,140,0,0.00%,0,0,0,0,0,0,2016-17
