Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
Dewey Academy,438,7,1.60%,0,3,0,4,0,0,2015-16
Downtown Charter Academy,262,4,1.53%,0,1,0,0,0,3,2015-16
Joaquin Miller Elementary,445,6,1.35%,3,3,0,0,0,0,2015-16
La Escuelita Elementary,378,5,1.32%,3,1,0,0,0,1,2015-16
American Indian Public High,237,3,1.27%,0,0,1,1,0,1,2015-16
East Bay Innovation Academy,347,4,1.15%,0,4,0,0,0,0,2015-16
Manzanita Community,457,5,1.09%,2,3,0,0,0,0,2015-16
Redwood Heights Elementary,373,4,1.07%,1,3,0,0,0,0,2015-16
Laurel Elementary,598,5,0.84%,3,0,0,0,0,2,2015-16
Esperanza Elementary,368,3,0.82%,2,1,0,0,0,0,2015-16
Brookfield Elementary,384,3,0.78%,1,2,0,0,0,0,2015-16
"Oakland Military Institute, College Preparatory Academy",661,5,0.76%,2,0,0,2,0,1,2015-16
Civicorps Corpsmember Academy,142,1,0.70%,0,1,0,0,0,0,2015-16
Lincoln Elementary,755,5,0.66%,1,4,0,0,0,0,2015-16
Grass Valley Elementary,317,2,0.63%,2,0,0,0,0,0,2015-16
American Indian Public Charter School II,651,4,0.61%,1,2,0,0,1,0,2015-16
Howard Elementary,249,1,0.40%,1,0,0,0,0,0,2015-16
Peralta Elementary,330,1,0.30%,0,0,1,0,0,0,2015-16
Crocker Highlands Elementary,455,1,0.22%,0,1,0,0,0,0,2015-16
Bella Vista Elementary,509,1,0.20%,0,1,0,0,0,0,2015-16
Melrose Leadership Academy,512,1,0.20%,0,0,0,0,1,0,2015-16
Chabot Elementary,577,1,0.17%,0,0,1,0,0,0,2015-16
ACORN Woodland Elementary,308,0,0.00%,0,0,0,0,0,0,2015-16
Allendale Elementary,409,0,0.00%,0,0,0,0,0,0,2015-16
Burckhalter Elementary,299,0,0.00%,0,0,0,0,0,0,2015-16
Castlemont Junior Academy,37,0,0.00%,0,0,0,0,0,0,2015-16
Castlemont Primary Academy,146,0,0.00%,0,0,0,0,0,0,2015-16
Cleveland Elementary,419,0,0.00%,0,0,0,0,0,0,2015-16
Francophone Charter School of Oakland,121,0,0.00%,0,0,0,0,0,0,2015-16
Gateway to College at Laney College,98,0,0.00%,0,0,0,0,0,0,2015-16
Glenview Elementary,467,0,0.00%,0,0,0,0,0,0,2015-16
Hillcrest Elementary,376,0,0.00%,0,0,0,0,0,0,2015-16
Home and Hospital Program,5,0,0.00%,0,0,0,0,0,0,2015-16
"Independent Study, Sojourner Truth",309,0,0.00%,0,0,0,0,0,0,2015-16
International Community,344,0,0.00%,0,0,0,0,0,0,2015-16
Kaiser Elementary,276,0,0.00%,0,0,0,0,0,0,2015-16
Montclair Elementary,618,0,0.00%,0,0,0,0,0,0,2015-16
New Highland Academy,390,0,0.00%,0,0,0,0,0,0,2015-16
"Nonpublic, Nonsectarian Schools",191,0,0.00%,0,0,0,0,0,0,2015-16
North Oakland Community Charter,232,0,0.00%,0,0,0,0,0,0,2015-16
Piedmont Avenue Elementary,392,0,0.00%,0,0,0,0,0,0,2015-16
Preparatory Literary Academy of Cultural Excellence,273,0,0.00%,0,0,0,0,0,0,2015-16
Ralph J. Bunche High,178,0,0.00%,0,0,0,0,0,0,2015-16
Street Academy (Alternative),158,0,0.00%,0,0,0,0,0,0,2015-16
Thornhill Elementary,411,0,0.00%,0,0,0,0,0,0,2015-16
Young Adult Program,74,0,0.00%,0,0,0,0,0,0,2015-16
