Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
ROOTS International Academy,348,19,5.46%,2,15,1,0,0,1,2014-15
Learning Without Limits,432,23,5.32%,0,16,0,0,6,1,2014-15
Oakland Charter High,359,17,4.74%,0,0,0,3,14,0,2014-15
MetWest High,169,8,4.73%,1,4,0,1,2,0,2014-15
Hoover Elementary,360,16,4.44%,10,3,1,0,2,0,2014-15
Reach Academy,462,20,4.33%,10,10,0,0,0,0,2014-15
Bay Area Technology,304,13,4.28%,0,6,0,2,1,4,2014-15
Oakland Technical High,"2,110",90,4.27%,15,32,0,24,14,5,2014-15
Oakland School for the Arts,754,32,4.24%,1,9,0,13,9,0,2014-15
Howard Elementary,294,12,4.08%,2,2,0,0,7,1,2014-15
Lafayette Elementary,279,11,3.94%,6,3,0,0,1,1,2014-15
Oakland Unity High,321,12,3.74%,2,2,0,8,0,0,2014-15
Melrose Leadership Academy,482,18,3.73%,1,7,1,4,5,0,2014-15
ARISE High,268,10,3.73%,0,6,0,4,0,0,2014-15
East Oakland Leadership Academy,167,6,3.59%,0,0,0,0,6,0,2014-15
Conservatory of Vocal/Instrumental Arts,251,9,3.59%,0,6,0,0,2,1,2014-15
"Oakland Military Institute, College Preparatory Academy",665,23,3.46%,3,6,1,13,0,0,2014-15
Laurel Elementary,591,20,3.38%,13,3,1,0,1,2,2014-15
Fred T. Korematsu Discovery Academy,482,16,3.32%,5,6,0,0,0,5,2014-15
Garfield Elementary,649,21,3.24%,6,10,1,0,2,2,2014-15
Coliseum College Prep Academy,486,14,2.88%,4,5,2,2,0,1,2014-15
Brookfield Elementary,396,11,2.78%,7,2,1,0,1,0,2014-15
Vincent Academy,151,4,2.65%,2,2,0,0,0,0,2014-15
Rudsdale Continuation,311,8,2.57%,0,1,0,7,0,0,2014-15
Emerson Elementary,345,8,2.32%,1,6,0,0,0,1,2014-15
Carl B. Munck Elementary,307,7,2.28%,5,2,0,0,0,0,2014-15
Bella Vista Elementary,555,12,2.16%,0,10,0,0,1,1,2014-15
EnCompass Academy Elementary,343,7,2.04%,2,2,1,0,1,1,2014-15
"Martin Luther King, Jr. Elementary",356,7,1.97%,2,5,0,0,0,0,2014-15
Sequoia Elementary,436,8,1.83%,0,7,0,0,0,1,2014-15
Manzanita SEED,433,7,1.62%,1,2,1,0,0,3,2014-15
Parker Elementary,317,5,1.58%,2,2,0,0,1,0,2014-15
Global Family,454,7,1.54%,1,3,1,0,0,2,2014-15
La Escuelita Elementary,358,5,1.40%,0,4,0,0,0,1,2014-15
LIFE Academy,489,6,1.23%,2,3,0,0,1,0,2014-15
Grass Valley Elementary,310,3,0.97%,1,0,0,0,2,0,2014-15
Cleveland Elementary,417,4,0.96%,1,3,0,0,0,0,2014-15
Achieve Academy,799,7,0.88%,0,2,0,0,0,5,2014-15
Edna Brewer Middle,838,7,0.84%,0,3,1,0,2,1,2014-15
Esperanza Elementary,365,3,0.82%,1,1,1,0,0,0,2014-15
Markham Elementary,432,3,0.69%,0,1,0,0,1,1,2014-15
International Community,368,2,0.54%,1,0,0,0,0,1,2014-15
New Highland Academy,395,2,0.51%,1,1,0,0,0,0,2014-15
Lincoln Elementary,752,3,0.40%,0,2,0,0,1,0,2014-15
Downtown Charter Academy,254,1,0.39%,0,1,0,0,0,0,2014-15
Kaiser Elementary,289,1,0.35%,0,1,0,0,0,0,2014-15
Burckhalter Elementary,309,1,0.32%,0,1,0,0,0,0,2014-15
Greenleaf Elementary,628,2,0.32%,1,0,0,0,1,0,2014-15
Hillcrest Elementary,368,1,0.27%,1,0,0,0,0,0,2014-15
Redwood Heights Elementary,382,1,0.26%,0,1,0,0,0,0,2014-15
Thornhill Elementary,401,1,0.25%,0,1,0,0,0,0,2014-15
Joaquin Miller Elementary,446,1,0.22%,0,1,0,0,0,0,2014-15
Bridges Academy,458,1,0.22%,0,1,0,0,0,0,2014-15
Horace Mann Elementary,469,1,0.21%,0,0,0,0,1,0,2014-15
Glenview Elementary,473,1,0.21%,0,0,0,0,1,0,2014-15
American Indian Public Charter School II,667,1,0.15%,0,0,1,0,0,0,2014-15
Allendale Elementary,425,0,0.00%,0,0,0,0,0,0,2014-15
American Indian Public Charter,198,0,0.00%,0,0,0,0,0,0,2014-15
American Indian Public High,221,0,0.00%,0,0,0,0,0,0,2014-15
ASCEND,439,0,0.00%,0,0,0,0,0,0,2014-15
Chabot Elementary,582,0,0.00%,0,0,0,0,0,0,2014-15
Civicorps Corpsmember Academy,140,0,0.00%,0,0,0,0,0,0,2014-15
Crocker Highlands Elementary,437,0,0.00%,0,0,0,0,0,0,2014-15
Dewey Academy,449,0,0.00%,0,0,0,0,0,0,2014-15
Epic Charter,175,0,0.00%,0,0,0,0,0,0,2014-15
Franklin Elementary,833,0,0.00%,0,0,0,0,0,0,2014-15
Gateway to College at Laney College,107,0,0.00%,0,0,0,0,0,0,2014-15
Home and Hospital Program,4,0,0.00%,0,0,0,0,0,0,2014-15
"Independent Study, Sojourner Truth",301,0,0.00%,0,0,0,0,0,0,2014-15
Infant and Preschool Program,1,0,0.00%,0,0,0,0,0,0,2014-15
Lighthouse Community Charter,499,0,0.00%,0,0,0,0,0,0,2014-15
Lighthouse Community Charter High,268,0,0.00%,0,0,0,0,0,0,2014-15
Montclair Elementary,599,0,0.00%,0,0,0,0,0,0,2014-15
"Nonpublic, Nonsectarian Schools",190,0,0.00%,0,0,0,0,0,0,2014-15
North Oakland Community Charter,227,0,0.00%,0,0,0,0,0,0,2014-15
Oakland Community Day Middle,4,0,0.00%,0,0,0,0,0,0,2014-15
Peralta Elementary,333,0,0.00%,0,0,0,0,0,0,2014-15
Piedmont Avenue Elementary,411,0,0.00%,0,0,0,0,0,0,2014-15
Preparatory Literary Academy of Cultural Excellence,259,0,0.00%,0,0,0,0,0,0,2014-15
Ralph J. Bunche High,176,0,0.00%,0,0,0,0,0,0,2014-15
Street Academy (Alternative),144,0,0.00%,0,0,0,0,0,0,2014-15
Young Adult Program,40,0,0.00%,0,0,0,0,0,0,2014-15
